Tamano de matriz,Tiempo de ejecucion (ms)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1.012
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1.004
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1.001
95,0
96,1.009
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1.001
111,0
112,0
113,0
114,0
115,0
116,0
117,1.333
118,0
119,0
120,0
121,0
122,1.009
123,0
124,0
125,1.001
126,0
127,0
128,1.002
129,0
130,1.275
131,0
132,0
133,1.002
134,0
135,0
136,0
137,1.001
138,0
139,0
140,1.365
141,0
142,0
143,1.01
144,0
145,0
146,1.206
147,1.002
148,0
149,0
150,0
151,0
152,0
153,0
154,1.001
155,1.002
156,0
157,0
158,0
159,1.442
160,0
161,0
162,0
163,0
164,1.001
165,1.002
166,1.001
167,1.002
168,1.005
169,0
170,0
171,1.194
172,1.003
173,1.002
174,1.002
175,1.001
176,1.01
177,1.232
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1.166
192,1.003
193,1.003
194,1.001
195,1.001
196,1
197,1.002
198,0
199,0
200,0
201,0
202,0
203,1.002
204,1.014
205,1.049
206,1.001
207,1.001
208,1.395
209,1.001
210,0
211,1.003
212,1.001
213,1.001
214,1.001
215,1.351
216,0
217,1.093
218,1.001
219,1.001
220,0
221,1.225
222,1.11
223,1.403
224,1.001
225,1.001
226,1.001
227,1.352
228,1.015
229,1.051
230,1.001
231,1.003
232,1.002
233,0
234,1.004
235,1.129
236,1.001
237,1.002
238,1.001
239,1.009
