Tamaño de matriz,Tiempo de ejecución (ms),Suma total
1,0.1652,8
2,0.1701,20
3,0.1733,34
4,0.1978,63
5,0.2137,112
6,0.2557,142
7,0.3008,202
8,0.3329,259
9,0.363,344
10,0.3951,469
11,0.3764,579
12,0.4456,594
13,0.4043,825
14,0.3971,908
15,0.4006,932
16,0.3702,1162
17,0.3812,1286
18,0.4136,1495
19,0.4084,1654
20,0.3758,1780
21,0.3855,2111
22,0.3867,2124
23,0.3837,2464
24,0.4071,2663
25,0.3875,2761
26,0.3687,2987
27,0.3718,3309
28,0.5401,3609
29,0.5008,4021
30,0.4043,4083
31,0.41,4409
32,0.4393,4618
33,0.3986,4874
34,0.3924,5338
35,0.3864,5471
36,0.3883,5832
37,0.5006,6160
38,0.4198,6501
39,0.3905,6675
40,0.3561,7233
41,0.387,7602
42,0.4466,7740
43,0.3644,8178
44,0.3522,8732
45,0.4388,8960
46,0.3975,9613
47,0.4304,9991
48,0.3896,10303
49,0.3835,10804
50,0.3978,11437
51,0.458,11451
52,0.4245,12081
53,0.5181,12434
54,0.4015,13364
55,0.4229,13548
56,0.4315,14120
57,0.4197,14539
58,0.423,14966
59,0.3518,15311
60,0.4196,15995
61,0.3953,17062
62,0.4405,17359
63,0.4567,17722
64,0.4643,18279
65,0.49,19240
66,0.4434,19315
67,0.4636,20111
68,0.443,20649
69,0.4396,21460
70,0.4037,22242
71,0.4225,22555
72,0.3843,23625
73,0.568,24027
74,0.3793,24643
75,0.4665,25355
76,0.485,25664
77,0.533,26789
78,0.526,27483
79,0.3905,28021
80,0.3872,29230
81,0.4382,29529
82,0.3901,30180
83,0.4971,30969
84,0.5115,31945
85,0.4119,32397
86,0.3855,32920
87,0.3671,33946
88,0.4246,34753
89,0.3927,35567
90,0.4129,36335
91,0.391,37219
92,0.6218,38183
93,0.5069,39308
94,0.4009,39468
95,0.3873,40908
96,0.4606,41422
97,0.4599,42631
98,0.3964,43180
99,0.4396,43928
100,0.3985,45216
101,0.465,45671
102,0.4659,46698
103,0.462,47270
104,0.4186,48906
105,0.4359,49478
106,0.4286,50970
107,0.3987,51597
108,0.4093,51974
109,0.4019,53626
110,0.449,54607
111,0.4167,55633
112,0.4397,56124
113,0.5138,57241
114,0.4997,58197
115,0.5324,58962
116,0.3959,60721
117,0.4048,61714
118,0.4217,62615
119,0.4966,63810
120,0.3977,64589
121,0.4238,66211
122,0.4334,66666
123,0.4479,67289
124,0.4372,68663
125,0.4632,70322
126,0.4173,71599
127,0.3937,72941
128,0.4299,73228
129,0.4353,75102
130,0.3987,76029
131,0.427,77149
132,0.4319,78584
133,0.4228,80172
134,0.4826,80453
135,0.5421,82600
136,0.4218,83967
137,0.4598,84638
138,0.4356,85937
139,0.3955,87098
140,0.5905,88839
141,0.4502,89607
142,0.5276,90425
143,0.4538,92361
144,0.4215,92833
145,0.5336,94214
146,0.5912,95898
147,0.3957,97894
148,0.6454,98454
149,0.402,99880
150,0.4638,100663
151,0.4733,102281
152,0.5618,103794
153,0.5242,105106
154,0.4931,107316
155,0.5611,107720
156,0.6889,109495
157,0.4208,110760
158,0.492,112767
159,0.4229,114122
160,0.5383,114695
161,0.5349,115988
162,0.4089,118785
163,0.4372,119924
164,0.4799,121040
165,0.4781,121937
166,0.3998,123305
167,0.3962,125353
168,0.4178,126480
169,0.5336,128160
170,0.4782,129817
171,0.4175,131578
172,0.4353,132584
173,0.4224,134613
174,0.4496,136602
175,0.632,137651
176,0.5737,139775
177,0.4507,140670
178,0.5289,142644
179,0.4204,144335
180,0.5206,146361
181,0.4274,147958
182,0.4605,149397
183,0.5753,150303
184,0.4531,152517
185,0.5379,154193
186,0.4809,155844
187,0.6811,158257
188,0.6327,159423
189,0.5187,162120
190,0.4939,162808
191,0.5713,165203
192,0.7683,164957
193,0.5613,167357
194,0.4625,169345
195,0.5305,171526
196,0.6101,173748
197,0.4893,173637
198,0.7279,175956
199,0.6251,178358
200,0.61,179705
201,0.5733,181624
202,0.5917,183407
203,0.5216,185944
204,0.499,187231
205,0.6008,188359
206,0.5651,190903
207,0.6956,193548
208,0.571,195493
209,0.5404,196523
210,0.4897,198458
211,0.5334,200182
212,0.4815,201978
213,0.5604,204096
214,0.6127,206935
215,0.6294,207884
216,0.8824,209776
217,0.5971,211961
218,0.7389,214346
219,0.5665,215990
220,0.6957,218052
221,0.6704,219917
222,0.655,221537
223,0.5507,223864
224,0.5887,226727
225,0.6879,227053
226,0.5359,230320
227,0.77,231935
228,0.9369,232923
229,0.5384,235666
230,0.4919,237699
231,0.7298,240273
232,0.575,241572
233,0.5414,244352
234,0.5868,246416
235,0.7248,247944
236,0.61,251520
237,0.5516,254001
238,0.614,253746
239,0.4847,256569
240,0.6006,258176
241,0.5449,262128
242,0.6569,264317
243,0.6373,266415
244,0.605,269342
245,0.6278,270310
246,0.5202,273296
247,0.7247,274763
248,0.5085,276288
249,0.5438,279228
250,0.5039,282818
251,0.806,284287
252,0.6671,285186
253,0.6564,287097
254,0.826,289542
255,0.5902,292598
256,0.7243,294077
257,0.6701,296365
258,0.8988,299098
259,0.6988,302481
260,0.5353,304059
261,0.6405,306983
262,0.8059,308808
263,0.5517,310162
264,0.679,313236
265,0.7648,316353
266,0.806,317853
267,0.9174,321278
268,0.9251,322466
269,0.7883,326410
270,0.6477,326812
271,0.8512,330953
272,0.7241,332953
273,0.6608,335529
274,0.8256,338194
275,0.7704,339742
276,0.7764,344130
277,0.8328,346506
278,0.6533,347287
279,0.7598,349662
280,0.7801,354019
281,0.6302,354294
282,0.7838,358858
283,0.5573,360132
284,0.7688,362510
285,0.8816,365145
286,0.685,367386
287,0.7764,369494
288,0.7165,372452
289,0.8503,374893
290,0.7772,378126
291,0.8914,380903
292,0.7572,383326
293,0.7694,385526
294,0.7035,387378
295,0.8055,392415
296,0.6228,394586
297,0.7889,397828
298,0.9113,399796
299,0.9082,400600
300,0.8739,404216
301,0.9265,409039
302,0.8912,410408
303,0.8851,413217
304,0.8527,416003
305,0.9445,420361
306,0.8156,418375
307,1.0274,423554
308,0.6516,428037
309,0.8335,430369
310,0.9078,433729
311,0.9965,434928
312,0.9089,439204
313,0.7114,441152
314,0.8924,442975
315,0.8995,446900
316,0.7573,449643
317,0.8381,451647
318,0.718,455924
319,1.0797,456469
320,0.9787,459943
321,0.8745,464133
322,0.9261,466258
323,0.9506,465694
324,1.2221,474786
325,0.9654,474956
326,0.8456,479391
327,1.0516,480651
328,0.9277,483904
329,0.8342,487023
330,0.9907,490202
331,1.0253,491126
332,0.8848,495743
333,0.9167,499948
334,1.0433,502174
335,1.0114,505893
336,0.9048,505752
337,0.9904,510853
338,0.7978,513899
339,0.6187,516499
340,1.2332,519142
341,1.1789,523196
342,1.2548,526883
343,0.7943,527786
344,0.8213,532469
345,0.8064,536065
346,0.9432,538980
347,0.8779,542461
348,1.1236,546877
349,0.7036,547965
350,1.0702,549885
351,1.2166,555275
352,1.1521,555926
353,0.8537,559934
354,0.9052,563016
355,1.4982,567027
356,0.9886,568440
357,1.0751,572257
358,0.966,577610
359,0.8168,580850
360,1.0891,583406
361,1.215,586833
362,0.826,589176
363,1.1274,593817
364,0.7646,597537
365,0.712,598940
366,0.9188,602272
367,1.2525,606413
368,0.8663,611030
369,1.0239,614000
370,1.0828,615829
371,0.8036,619758
372,1.1157,621957
373,1.4503,627037
374,1.0677,628503
375,1.205,632405
376,1.1476,634220
377,0.71,639911
378,1.4771,641734
379,1.6912,648577
380,0.983,647773
381,1.2648,652317
382,1.0448,657305
383,1.2334,658475
384,1.1991,665770
385,1.3314,666330
386,1.0968,671671
387,1.8537,673696
388,1.5653,677896
389,0.7854,680056
390,0.915,684620
391,0.9504,688452
392,0.9883,690954
393,1.0082,694369
394,1.1651,699072
395,0.8976,700960
396,0.8653,704916
397,1.1002,708118
398,1.7957,713300
399,1.0977,716587
400,1.1267,719420
401,1.1229,724294
402,1.6126,726847
403,0.7177,731715
404,1.1257,733113
405,1.0734,736421
406,1.4077,741637
407,1.1886,745265
408,0.5868,751712
409,1.8631,753522
410,1.2643,755162
411,0.9288,760395
412,0.7479,765715
413,0.7645,767181
414,1.1104,769884
415,1.2037,773787
416,1.149,778251
417,0.8814,783067
418,0.7275,785181
419,1.0246,790989
420,0.6891,792818
421,0.7029,798081
422,0.8591,801931
423,1.0466,802651
424,0.7775,809421
425,1.0081,814813
426,1.0361,818677
427,1.1585,820443
428,0.9696,825788
429,0.9227,831451
430,1.1989,832075
431,1.1012,837583
432,0.8173,838018
433,1.0569,844135
434,1.1265,849159
435,1.1012,852702
436,1.5994,854404
437,1.0121,859998
438,1.2041,863351
439,1.0071,865004
440,1.1936,871800
441,1.4794,873970
442,1.0335,881832
443,1.5066,883451
444,1.2177,887015
445,1.0427,892057
446,1.1095,897201
447,0.8953,897384
448,1.1381,906456
449,1.0126,904426
450,1.3647,908593
451,1.0368,914537
452,1.0663,919033
453,1.1221,922795
454,1.1986,927578
455,1.2128,930248
456,1.2529,934775
457,1.0251,939469
458,1.2734,945451
459,1.1274,945959
460,1.0307,952758
461,1.1715,956389
462,1.1489,956902
463,1.0383,965468
464,1.3863,969653
465,1.313,971352
466,1.3815,976322
467,1.7167,984483
468,1.412,985620
469,1.2061,991198
470,1.0025,993235
471,1.2652,998779
472,1.6434,1000935
473,1.8056,1008030
474,1.2262,1010769
475,1.4942,1013986
476,1.1791,1020414
477,1.4018,1026035
478,1.095,1029118
479,1.8038,1032932
480,1.1873,1035026
481,1.3484,1041187
482,1.1285,1042780
483,1.5089,1049610
484,1.0585,1053886
485,1.9407,1058843
486,1.6724,1063227
487,1.4096,1064771
488,1.299,1071076
489,1.2902,1075409
490,1.298,1082278
491,1.1372,1083790
492,1.3044,1091846
493,1.3339,1090957
494,1.1556,1096926
495,1.3762,1102947
496,1.0656,1105493
497,1.2242,1112409
498,1.4585,1116115
499,1.3574,1118990
500,1.8089,1126551
501,1.804,1129181
502,1.3951,1133903
503,1.4362,1138795
504,1.6992,1142753
505,1.5859,1147077
506,0.7667,1153579
507,1.5701,1156122
508,0.797,1159493
509,1.1682,1165801
510,1.015,1168023
511,1.709,1173628
512,1.1139,1180704
513,1.7089,1181003
514,1.1783,1187015
515,1.6869,1196412
516,1.3392,1202372
517,1.7787,1205232
518,1.2542,1208275
519,1.775,1213754
520,1.9022,1216009
521,1.1651,1220903
522,1.1342,1228010
523,1.3635,1231290
524,1.654,1233117
525,1.3414,1241636
526,1.4563,1247157
527,1.445,1249105
528,1.6603,1253660
529,1.4118,1260842
530,1.2616,1265081
531,1.7314,1270052
532,1.05,1275211
533,1.7535,1277011
534,1.366,1281054
535,1.2289,1287792
536,1.4545,1292942
537,1.2164,1299932
538,1.2939,1302293
539,1.5221,1306404
540,1.7077,1311946
541,1.6035,1316416
542,1.8881,1320647
543,1.9775,1327939
544,1.7163,1331399
545,1.8995,1332269
546,1.1767,1341174
547,1.2052,1347692
548,1.3746,1351810
549,1.1937,1354093
550,1.496,1362925
551,1.4638,1364294
552,1.542,1370165
553,1.2691,1376926
554,1.8009,1381323
555,1.937,1385465
556,1.9249,1392828
557,1.2075,1398163
558,1.6368,1396999
559,1.8593,1405078
560,1.4004,1412746
561,1.4639,1419616
562,1.7023,1423828
563,1.1724,1429088
564,1.8455,1431139
565,1.2196,1434349
566,1.5222,1441270
567,1.5373,1447127
568,1.4323,1451209
569,2.1018,1458546
570,1.1994,1461552
571,1.4998,1467792
572,1.8007,1470835
573,1.5433,1480614
574,1.5104,1481196
575,1.656,1489619
576,1.4311,1495955
577,1.5124,1499489
578,1.5531,1503454
579,1.5538,1506399
580,2.0329,1513037
581,1.4458,1517474
582,1.39,1524851
583,1.6289,1527462
584,1.9843,1534545
585,1.3844,1541354
586,1.7427,1546331
587,1.5167,1553941
588,1.5054,1553209
589,1.4557,1562581
590,1.432,1563947
591,1.7884,1572859
592,1.0274,1576561
593,2.2974,1579705
594,2.1295,1589247
595,1.3907,1592959
596,2.1842,1596479
597,1.1346,1602294
598,1.3768,1609445
599,1.7643,1614033
600,1.1942,1620419
601,1.1877,1627488
602,2.1918,1629799
603,1.8547,1635436
604,1.5159,1641562
605,1.3451,1647623
606,1.5557,1654075
607,1.7546,1654863
608,1.5951,1665686
609,1.8999,1668994
610,1.6712,1672291
611,1.1487,1678305
612,1.5506,1684891
613,1.4762,1685604
614,1.7653,1698435
615,1.3889,1699104
616,1.5747,1708186
617,1.4115,1712212
618,1.1056,1716921
619,2.0784,1721967
620,1.644,1729931
621,1.6992,1734873
622,1.6932,1741242
623,1.5422,1744665
624,1.6261,1754423
625,1.6331,1758784
626,2.2119,1762764
627,2.3135,1767690
628,1.6064,1776691
629,2.2643,1780800
630,1.6671,1783304
631,1.4363,1791274
632,1.8607,1797629
633,1.4699,1801107
634,2.2324,1808157
635,1.3785,1814251
636,1.7243,1817041
637,1.4199,1824123
638,1.3476,1830304
639,1.3877,1836410
640,1.9431,1840248
641,1.154,1849846
642,1.5383,1854865
643,1.7608,1861691
644,1.7139,1868069
645,1.5714,1871933
646,2.2134,1880579
647,1.8274,1883682
648,1.6681,1886280
649,1.7558,1898295
650,1.3669,1900738
651,2.0217,1905066
652,1.4762,1914005
653,1.9649,1915456
654,1.6553,1924978
655,1.95,1929584
656,1.6407,1933966
657,1.7299,1940295
658,1.6748,1947388
659,1.7728,1953594
660,1.4535,1962508
661,1.8314,1964227
662,1.6585,1968846
663,1.494,1980181
664,1.7605,1981480
665,1.5706,1990155
666,1.7801,1995751
667,1.6125,2004056
668,1.6072,2005819
669,1.5432,2013592
670,2.2356,2020708
671,2.1097,2026733
672,1.6007,2029008
673,1.6564,2039141
674,1.429,2044381
675,2.1234,2051081
676,2.0909,2054772
677,2.0946,2063576
678,1.8658,2069810
679,1.5658,2074467
680,1.7475,2080369
681,1.8362,2088205
682,1.8851,2094177
683,1.6801,2097958
684,1.9987,2104084
685,1.5263,2112258
686,1.295,2122310
687,1.7579,2126157
688,1.7297,2128996
689,1.5818,2135069
690,1.814,2146161
691,2.4856,2146539
692,1.7935,2158918
693,2.0421,2162318
694,1.9053,2168205
695,1.203,2172939
696,1.3472,2178382
697,1.5545,2185315
698,1.6274,2193820
699,1.8434,2198987
700,2.3856,2206874
701,2.5753,2213260
702,1.5815,2217679
703,1.838,2224529
704,1.6382,2230061
705,1.3696,2235709
706,2.0569,2238516
707,2.3146,2250170
708,1.4564,2252100
709,1.9913,2261364
710,1.5863,2268817
711,1.8894,2274386
712,2.0072,2282205
713,1.6438,2293288
714,1.6786,2297595
715,1.6616,2300087
716,1.7494,2307894
717,2.0094,2310110
718,1.9791,2316551
719,1.5002,2329161
720,1.8576,2333372
721,1.6458,2339565
722,1.3854,2342395
723,1.7591,2350846
724,2.0486,2357385
725,1.5125,2365272
726,1.7987,2370977
727,1.8377,2378942
728,1.4343,2385473
729,1.4263,2393339
730,1.5506,2400073
731,1.6888,2404364
732,1.5896,2413518
733,1.5552,2419747
734,1.4937,2425193
735,2.2893,2432507
736,2.3443,2440536
737,2.6648,2442713
738,1.895,2453373
739,2.443,2456489
740,1.6609,2462850
741,2.1958,2470765
742,2.203,2479860
743,1.6487,2482606
744,2.1305,2488130
745,1.827,2496166
746,1.5126,2504617
747,2.5207,2509135
748,2.3298,2515622
749,1.6098,2522414
750,2.0303,2530379
751,1.8909,2539585
752,1.9151,2549110
753,2.0784,2552055
754,2.1593,2560995
755,2.0935,2561638
756,2.5465,2572265
757,2.3926,2577925
758,2.0927,2584540
759,2.7765,2593070
760,2.0151,2600738
761,1.8842,2601527
762,1.9548,2614309
763,2.1407,2616484
764,1.8693,2623556
765,1.9553,2635966
766,2.1724,2638489
767,2.3443,2649443
768,1.6569,2653652
769,1.4836,2660770
770,1.7785,2666732
771,2.2432,2677272
772,1.96,2682793
773,2.4365,2685362
774,2.4109,2693837
775,2.4622,2706623
776,2.3242,2714633
777,1.8459,2718614
778,2.1397,2723230
779,1.6526,2725571
780,2.153,2737664
781,2.161,2744676
782,1.7012,2748895
783,2.2038,2758467
784,1.7081,2766709
785,1.6469,2779441
786,1.8796,2778842
787,1.5558,2787284
788,1.725,2793621
789,1.7903,2801012
790,1.948,2805760
791,1.8499,2813898
792,1.8389,2825161
793,1.671,2833535
794,1.6802,2834113
795,1.63,2844392
796,2.1492,2854052
797,1.8492,2860149
798,2.3554,2866761
799,2.0954,2874447
800,2.5532,2878150
801,1.933,2882189
802,2.3218,2892353
803,1.7824,2903533
804,1.7134,2910392
805,2.8165,2918248
806,1.7629,2923717
807,2.1718,2933116
808,2.2526,2935009
809,2.2374,2946597
810,2.0605,2950283
811,2.1325,2958103
812,1.9378,2967558
813,2.2401,2973973
814,1.8886,2978796
815,2.3779,2992385
816,2.0036,2997389
817,2.8659,3003211
818,2.7251,3016651
819,2.5328,3017893
820,2.0711,3025430
821,1.9802,3029650
822,2.0537,3040079
823,2.0613,3044087
824,1.8364,3057944
825,1.9626,3064177
826,1.7672,3068661
827,2.2471,3075274
828,2.3223,3083196
829,2.2339,3095478
830,1.7168,3101968
831,1.817,3106271
832,1.7387,3113473
833,2.3214,3120356
834,2.1923,3131501
835,1.5643,3138156
836,1.829,3149149
837,1.7887,3152252
838,2.0205,3158314
839,2.4563,3167672
840,1.9348,3174585
841,2.2685,3182054
842,2.0858,3187961
843,2.3361,3199307
844,1.9691,3205106
845,2.4361,3218269
846,2.1208,3224360
847,2.1271,3227659
848,1.9984,3236169
849,2.0464,3243266
850,1.91,3248879
851,2.2876,3261184
852,1.9973,3270101
853,1.829,3272300
854,2.0303,3278475
855,2.0422,3288758
856,1.9765,3295124
857,1.9051,3305144
858,2.2251,3310500
859,2.4191,3316737
860,2.089,3331609
861,2.3406,3332965
862,2.3942,3344124
863,1.6994,3351793
864,2.2692,3362172
865,1.7567,3370439
866,2.2971,3375109
867,2.4184,3384223
868,2.2065,3390739
869,2.3793,3401266
870,2.3356,3408186
871,3.1235,3415272
872,2.2263,3420742
873,2.2884,3430677
874,2.2425,3436784
875,2.1075,3442870
876,2.7552,3453564
877,1.8756,3460710
878,1.9183,3466936
879,2.0234,3472989
880,2.5414,3483668
881,2.0944,3496755
882,2.2049,3498217
883,1.9895,3512427
884,1.6824,3517083
885,1.9753,3524730
886,2.5064,3527977
887,1.8629,3537599
888,2.2377,3548532
889,1.9222,3557538
890,2.2251,3568755
891,2.3357,3568230
892,3.0978,3585093
893,1.8795,3589975
894,2.3118,3597803
895,1.7677,3604298
896,2.1633,3613583
897,2.3122,3619298
898,2.0086,3628518
899,2.4779,3637424
900,2.1051,3647226
901,3.1076,3650614
902,2.196,3660634
903,2.2754,3669469
904,2.7307,3676804
905,2.2912,3682013
906,2.3385,3694532
907,2.0583,3698079
908,1.816,3709494
909,2.203,3716289
910,2.4168,3721532
911,2.7408,3736470
912,2.3813,3743787
913,2.5233,3747838
914,2.5608,3756999
915,2.5764,3772699
916,2.9817,3776577
917,1.8764,3780577
918,2.1218,3792476
919,1.861,3797401
920,2.0899,3810581
921,2.4737,3810953
922,2.4662,3823350
923,1.5269,3837295
924,3.0353,3837854
925,2.0877,3852724
926,2.5309,3857908
927,2.3453,3868987
928,2.1651,3877159
929,1.4812,3885058
930,2.9741,3896134
931,2.7765,3900874
932,2.4013,3902892
933,2.2116,3917222
934,2.2586,3924478
935,2.1895,3933388
936,2.544,3944173
937,2.3488,3950153
938,2.3486,3951841
939,2.1668,3967111
940,2.5793,3975682
941,2.3011,3984308
942,2.2785,3989304
943,3.0224,4007052
944,2.412,4009350
945,2.144,4018148
946,2.2401,4028815
947,2.6499,4031015
948,2.0604,4042173
949,2.2317,4056590
950,2.2166,4059422
951,2.4156,4073120
952,2.2833,4080306
953,1.9891,4085690
954,2.0416,4097247
955,2.5038,4106418
956,2.5329,4112203
957,2.1232,4122439
958,2.0784,4131238
959,1.9449,4135129
960,2.8261,4146659
961,2.1687,4157553
962,2.2292,4165352
963,2.0327,4172604
964,2.4167,4183416
965,2.469,4189962
966,2.6087,4197827
967,2.5455,4207598
968,2.2858,4214322
969,2.7044,4225409
970,2.2556,4232281
971,2.1519,4241539
972,2.6215,4251459
973,2.0497,4261691
974,2.7564,4264589
975,2.502,4275477
976,2.4961,4282975
977,2.93,4298138
978,2.3016,4305846
979,3.0358,4306450
980,2.5454,4315775
981,2.6859,4329519
982,2.5421,4342403
