Tamaño de matriz,Tiempo de ejecución (ms),Suma total
1,3.6797,3
2,15.6028,16
3,14.3999,39
4,14.3964,76
5,14.6055,125
6,15.515,143
7,14.4345,215
8,14.473,298
9,15.1384,355
10,14.9866,493
11,14.1166,555
12,15.4733,688
13,13.8546,768
14,14.719,944
15,14.9299,999
16,30.2844,1108
17,30.1786,1307
18,14.8799,1481
19,14.5799,1585
20,14.9384,1775
21,14.1688,2034
22,14.6734,2181
23,15.002,2434
24,29.9966,2551
25,13.9464,2904
26,14.561,3175
27,14.4268,3353
28,15.2858,3505
29,14.3014,3734
30,14.68,3955
31,14.935,4157
32,14.6999,4475
33,14.8501,4877
34,14.171,5228
35,14.499,5487
36,15.0819,5627
37,14.6563,6169
38,14.7425,6696
39,14.864,6885
40,14.1446,7243
41,15.5711,7615
42,14.2962,7743
43,14.2662,8297
44,14.8826,8720
45,14.5799,9019
46,14.7588,9837
47,14.3522,9827
48,14.2854,10393
49,14.6043,10841
50,14.118,11107
51,13.9862,11715
52,15.1193,12152
53,14.5542,12603
54,14.9497,12948
55,13.5359,13752
56,14.2867,14201
57,13.8881,14481
58,14.6524,14918
59,14.7561,15405
60,14.3594,16187
61,15.033,16806
62,14.4266,17246
63,15.1478,17971
64,14.3549,18475
65,14.6395,19170
66,14.2752,19641
67,14.5223,20221
68,14.8275,20584
69,14.2447,21298
70,14.7398,21960
71,14.5064,22545
72,14.3572,23019
73,14.1077,24098
74,15.0645,24582
75,14.8945,25241
76,14.3326,25716
77,14.7334,26569
78,13.6405,27431
79,13.8615,28005
80,14.8156,28924
81,14.2057,29120
82,13.8225,29772
83,14.3627,31143
84,14.6447,31899
85,14.2992,32489
86,14.6464,33159
87,15.0249,34197
88,14.0967,35482
89,14.234,35378
90,14.7046,36714
91,14.2952,37345
92,14.9482,37664
93,13.3989,38821
94,14.7481,39783
95,14.1621,40339
96,14.7631,41653
97,29.4093,42272
98,29.602,42907
99,29.585,43737
100,14.1058,44796
101,14.2376,45877
102,15.0292,46445
103,15.0421,47250
104,15.1611,48883
105,13.9541,49875
106,14.7397,50443
107,14.5598,51597
108,13.9485,52915
109,14.0934,53660
110,14.122,54924
111,14.2384,55878
112,14.7297,56798
113,14.1589,57567
114,14.6844,58880
115,14.3453,59668
116,14.4714,60383
117,14.4301,61653
118,13.5951,62684
119,14.1218,63589
120,14.3035,64757
121,13.4534,65674
122,14.2185,67101
123,14.2523,67868
124,14.4285,69793
125,14.3287,70169
126,14.5161,71157
127,14.1528,73027
128,14.1747,73147
129,14.2701,75058
130,14.0093,76506
131,13.779,77468
132,14.7151,77988
133,13.9839,80234
134,13.802,80300
135,14.0921,82338
136,13.9409,83875
137,12.7099,84161
138,13.68,86234
139,13.9198,87450
140,13.9727,87601
141,13.5775,89598
142,13.92,90360
143,14.1708,91527
144,14.4899,93651
145,13.2063,94689
146,13.9472,96480
147,14.3502,97820
148,13.3281,98579
149,13.5067,100456
150,14.3706,100890
151,13.8945,103052
152,13.5324,104048
153,14.0934,105032
154,14.1275,107007
155,13.5235,108124
156,14.2353,109260
157,13.831,110478
158,13.9005,111923
159,13.2263,113850
160,13.7408,115361
161,14.1814,115785
162,13.9333,118949
163,14.2276,119165
164,13.6271,120895
165,13.8057,122613
166,13.4536,123243
167,13.718,125909
168,13.6593,127070
169,29.4617,128693
170,29.4616,130759
171,14.1583,131656
172,13.8193,133703
173,14.1406,135083
174,14.9247,135789
175,13.5677,137997
176,14.2281,139347
177,14.1779,141585
178,13.4364,143421
179,13.849,143752
180,13.7489,145772
181,14.4512,147889
182,28.7185,149995
183,28.8346,151415
184,13.6938,151494
185,14.5694,153430
186,13.6243,155844
187,13.6729,156668
188,14.014,159347
189,13.6804,160793
190,13.6475,162791
191,13.7656,163856
192,13.8649,166441
193,27.3389,167061
194,29.2035,169592
195,29.2387,171266
196,28.6373,172438
197,28.0603,175478
198,13.4711,176628
199,13.3222,178647
200,13.693,179752
201,12.9877,181213
202,13.3619,184374
203,13.6103,185836
204,13.3472,187124
205,13.4678,188629
206,13.3101,190984
207,13.2841,192009
208,12.852,196146
209,13.5158,196652
210,13.1349,198656
211,13.9076,200982
212,12.9134,202506
213,13.5907,203634
214,13.3445,206724
215,13.0598,208216
216,12.698,211158
217,13.436,212037
218,12.9027,214327
219,13.2977,216134
220,13.3512,217827
221,12.6395,219825
222,12.4022,221994
223,13.5111,224052
224,13.7529,226144
225,12.3909,228796
226,13.9944,230354
227,12.2928,232016
228,12.9507,234192
229,13.0672,235434
230,13.2332,237219
231,13.1781,239913
232,12.2215,241284
233,12.9605,244882
234,12.9077,247564
235,13.3452,248414
236,12.733,250156
237,12.7559,252122
238,13.6321,255458
239,13.2785,256991
240,13.7908,259174
241,13.7854,261294
242,13.9391,263996
243,13.475,265205
244,13.9547,267350
245,13.6342,270562
246,13.7,271359
247,13.5389,274307
248,12.9804,276297
249,13.8429,277778
250,13.0268,280940
251,12.949,284102
252,12.4201,284845
253,12.9826,288541
254,12.5404,289185
255,12.5064,291836
256,13.3726,294898
257,12.1441,297720
258,13.4413,300073
259,12.7046,302199
260,12.9591,304268
261,12.9701,306875
262,12.1889,309096
263,12.7274,311812
264,11.9029,313224
265,12.2628,316369
266,13.3942,319163
267,12.6486,320464
268,13.2779,324151
269,13.6909,324783
270,12.6249,328017
271,11.9651,331917
272,12.5382,333368
273,12.8773,336278
274,12.8002,338160
275,12.2907,340453
276,12.5014,340634
277,12.0907,345270
278,11.816,346494
279,12.5139,351255
280,12.709,352564
281,12.3044,355349
282,12.4206,358026
283,12.3057,359859
284,13.5356,363188
285,11.6005,365368
286,12.4315,367750
287,12.183,369798
288,12.6943,373671
289,11.9181,376231
290,12.9813,379002
291,12.4774,380202
292,11.2802,385428
293,12.4311,386187
294,12.7521,389969
295,12.5662,389783
296,12.8589,392738
297,27.679,398123
298,27.9738,399372
299,27.2261,401043
300,27.5991,405886
301,27.7018,408582
302,28.022,411167
303,28.368,412718
304,26.87,417307
305,12.368,418686
306,12.5079,421783
307,27.4044,423639
308,26.7384,428002
309,11.1497,430230
310,12.2499,432564
311,11.4195,434930
312,12.1784,438797
313,12.5086,440785
314,12.0341,443666
315,11.4122,445819
316,12.1476,448984
317,12.1139,453351
318,12.5293,455542
319,12.2676,457302
320,11.6928,460887
321,12.263,462822
322,12.1477,465306
323,11.6166,469920
324,12.1016,472730
325,11.5277,474612
326,11.984,478560
327,11.9734,479623
328,11.5386,485105
329,12.2409,487316
330,11.5325,489923
331,11.8665,494350
332,12.3337,495550
333,11.7859,498435
334,11.7287,502328
335,12.0292,506404
336,10.7841,508343
337,11.3522,512255
338,11.8583,514131
339,11.571,517597
340,11.7874,519463
341,11.298,524897
342,11.7253,525505
343,11.6279,527624
344,12.0209,531877
345,11.9768,535924
346,11.3178,539251
347,11.6872,540865
348,11.7464,546455
349,10.7912,548191
350,11.4984,551791
